NO_KASUS,TAHUN,REGISTER,AGENDA_KE,AGENDA_RAW
163,2011,,1,13/07/2011 AGENDA MEDIASI KE-I
2203,2014,1011/X/KIP-PS/2014,1,22/2/2021 (Mediasi kedua)
2203,2014,1011/X/KIP-PS/2014,2,04/Maret 2021 (P.Putusan)
2473,2014,1291/XI/KIP-PS/2014,1,12/01/2021 (Putusan)
2636,2015,045/IX/KIP-PS/2015,1,2018-05-28 00:00:00
2636,2015,045/IX/KIP-PS/2015,2,2018-06-07 00:00:00
2636,2015,045/IX/KIP-PS/2015,3,2018-07-03 00:00:00
2636,2015,045/IX/KIP-PS/2015,4,2018-07-12 00:00:00
2636,2015,045/IX/KIP-PS/2015,5,2018-07-30 00:00:00
2636,2015,045/IX/KIP-PS/2015,6,2018-08-10 00:00:00
2636,2015,045/IX/KIP-PS/2015,7,24/08/2018 (putusan)
2710,2016,055/XI/KIP-PS/2016,1,2021-12-22 00:00:00
2710,2016,055/XI/KIP-PS/2016,2,2021-02-24 00:00:00
2710,2016,055/XI/KIP-PS/2016,3,19 Maret 2021 (P. Putusan)
2841,2018,002/I/KIP-PS/2018,1,2018-12-03 00:00:00
2841,2018,002/I/KIP-PS/2018,2,2019-01-10 00:00:00
2842,2018,003/I/KIP-PS/2018,1,2018-12-03 00:00:00
2842,2018,003/I/KIP-PS/2018,2,2019-01-10 00:00:00
2843,2018,004/III/KIP-PS/2018,1,2018-12-03 00:00:00
2844,2018,005/III/KIP-PS/2018,1,2018-12-03 00:00:00
2844,2018,005/III/KIP-PS/2018,2,2018-12-07 00:00:00
2844,2018,005/III/KIP-PS/2018,3,2018-12-17 00:00:00
2844,2018,005/III/KIP-PS/2018,4,19/12/2018 (P.Putusan)
2845,2018,006/IV/KIP-PS/2018,1,2018-04-03 00:00:00
2845,2018,006/IV/KIP-PS/2018,2,2018-04-04 00:00:00
2845,2018,006/IV/KIP-PS/2018,3,2018-04-05 00:00:00
2846,2018,007/IV/KIP-PS/2018,1,2018-04-03 00:00:00
2846,2018,007/IV/KIP-PS/2018,2,2018-04-04 00:00:00
2846,2018,007/IV/KIP-PS/2018,3,2018-04-05 00:00:00
2847,2018,008/IV/KIP-PS/2018,1,2018-04-03 00:00:00
2847,2018,008/IV/KIP-PS/2018,2,2018-04-04 00:00:00
2847,2018,008/IV/KIP-PS/2018,3,2018-04-05 00:00:00
2848,2018,009/IV/KIP-PS/2018,1,2018-04-03 00:00:00
2848,2018,009/IV/KIP-PS/2018,2,2018-04-04 00:00:00
2848,2018,009/IV/KIP-PS/2018,3,2018-04-05 00:00:00
2850,2018,011/IV/KIP-PS/2018,1,2018-12-03 00:00:00
2850,2018,011/IV/KIP-PS/2018,2,2018-12-17 00:00:00
2850,2018,011/IV/KIP-PS/2018,3,2019-01-03 00:00:00
2850,2018,011/IV/KIP-PS/2018,4,2018-01-24 00:00:00
2854,2018,013/VI/KIP-PS/2018,1,24/02/2020 (Mediasi)
2854,2018,013/VI/KIP-PS/2018,2,25/02/2020 (Pembacaan Putusan)
2855,2018,014/VI/KIP-PS/2018,1,2020-02-24 00:00:00
2855,2018,014/VI/KIP-PS/2018,2,25/02/2020 (Pembacaan Putusan)
2858,2018,017/VII/KIP-PS/2018,1,2019-11-01 00:00:00
2858,2018,017/VII/KIP-PS/2018,2,14/01/2020 (pemeriksaan Tertutup)
2858,2018,017/VII/KIP-PS/2018,3,21/01/2019 (Pemeriksaan Tertutup)
2858,2018,017/VII/KIP-PS/2018,4,2020-02-11 00:00:00
2859,2018,018/VII/KIP-PS/2018,1,31/11/2019
2859,2018,018/VII/KIP-PS/2018,2,2019-11-11 00:00:00
2859,2018,018/VII/KIP-PS/2018,3,2020-01-10 00:00:00
2859,2018,018/VII/KIP-PS/2018,4,15/01/2020 Mediasi I)
2859,2018,018/VII/KIP-PS/2018,5,22/01/2020 (Pembacaan Putusan)
